"기준일","구간","출발역","도착역","운임(금~일, 공휴일)","특실요금(금~일, 공휴일)","운임(월~목요일)","특실요금(월~목요일)","운임(전 요일)","특실요금(전 요일)"
"~2014.12.31","대구~진해","대구","동대구","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","대구","경산","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","대구","청도","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","대구","밀양","5600","3600","5300","3600","",""
"~2014.12.31","대구~진해","대구","진영","8000","3600","7600","3600","",""
"~2014.12.31","대구~진해","대구","진례","8400","3600","8000","3600","",""
"~2014.12.31","대구~진해","대구","창원중앙","9400","3600","9000","3600","",""
"~2014.12.31","대구~진해","대구","창원","9700","3600","9300","3600","",""
"~2014.12.31","대구~진해","대구","신창원","10100","3600","9600","3600","",""
"~2014.12.31","대구~진해","대구","진해","11500","3600","11000","3600","",""
"~2014.12.31","대구~진해","동대구","경산","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","동대구","청도","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","동대구","밀양","5300","3600","5100","3600","",""
"~2014.12.31","대구~진해","동대구","진영","7700","3600","7400","3600","",""
"~2014.12.31","대구~진해","동대구","진례","8100","3600","7700","3600","",""
"~2014.12.31","대구~진해","동대구","창원중앙","9100","3600","8700","3600","",""
"~2014.12.31","대구~진해","동대구","창원","9400","3600","9000","3600","",""
"~2014.12.31","대구~진해","동대구","신창원","9800","3600","9400","3600","",""
"~2014.12.31","대구~진해","동대구","진해","11200","3600","10700","3600","",""
"~2014.12.31","대구~진해","경산","청도","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","경산","밀양","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","경산","진영","6500","3600","6200","3600","",""
"~2014.12.31","대구~진해","경산","진례","6900","3600","6600","3600","",""
"~2014.12.31","대구~진해","경산","창원중앙","7900","3600","7500","3600","",""
"~2014.12.31","대구~진해","경산","창원","8200","3600","7800","3600","",""
"~2014.12.31","대구~진해","경산","신창원","8600","3600","8200","3600","",""
"~2014.12.31","대구~진해","경산","진해","10000","3600","9600","3600","",""
"~2014.12.31","대구~진해","청도","밀양","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","청도","진영","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","청도","진례","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","청도","창원중앙","5700","3600","5400","3600","",""
"~2014.12.31","대구~진해","청도","창원","5900","3600","5600","3600","",""
"~2014.12.31","대구~진해","청도","신창원","6400","3600","6100","3600","",""
"~2014.12.31","대구~진해","청도","진해","7800","3600","7400","3600","",""
"~2014.12.31","대구~진해","밀양","진영","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","밀양","진례","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","밀양","창원중앙","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","밀양","창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","밀양","신창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","밀양","진해","5900","3600","5600","3600","",""
"~2014.12.31","대구~진해","진영","진례","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","진영","창원중앙","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","진영","창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","진영","신창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","진영","진해","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","진례","창원중앙","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","진례","창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","진례","신창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","진례","진해","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","창원중앙","창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","창원중앙","신창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","창원중앙","진해","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","창원","신창원","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","창원","진해","4800","3600","4800","3600","",""
"~2014.12.31","대구~진해","신창원","진해","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","부전","해운대","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","부전","기장","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","부전","월내","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","부전","남창","4900","3600","4800","3600","",""
"~2014.12.31","부전~동대구","부전","덕하","5700","3600","5400","3600","",""
"~2014.12.31","부전~동대구","부전","태화강","6400","3600","6100","3600","",""
"~2014.12.31","부전~동대구","부전","호계","7300","3600","7000","3600","",""
"~2014.12.31","부전~동대구","부전","경주","10200","3600","9700","3600","",""
"~2014.12.31","부전~동대구","부전","서경주","10600","3600","10100","3600","",""
"~2014.12.31","부전~동대구","부전","영천","14200","3600","13600","3600","",""
"~2014.12.31","부전~동대구","부전","하양","15600","3600","14900","3600","",""
"~2014.12.31","부전~동대구","부전","동대구","17600","3600","16800","3600","",""
"~2014.12.31","부전~동대구","해운대","기장","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","해운대","월내","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","해운대","남창","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","해운대","덕하","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","해운대","태화강","5100","3600","4900","3600","",""
"~2014.12.31","부전~동대구","해운대","호계","6000","3600","5700","3600","",""
"~2014.12.31","부전~동대구","해운대","경주","8800","3600","8400","3600","",""
"~2014.12.31","부전~동대구","해운대","서경주","9300","3600","8900","3600","",""
"~2014.12.31","부전~동대구","해운대","영천","12800","3600","12200","3600","",""
"~2014.12.31","부전~동대구","해운대","하양","14200","3600","13600","3600","",""
"~2014.12.31","부전~동대구","해운대","동대구","16200","3600","15500","3600","",""
"~2014.12.31","부전~동대구","기장","월내","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","기장","남창","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","기장","덕하","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","기장","태화강","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","기장","호계","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","기장","경주","7500","3600","7200","3600","",""
"~2014.12.31","부전~동대구","기장","서경주","8000","3600","7600","3600","",""
"~2014.12.31","부전~동대구","기장","영천","11500","3600","11000","3600","",""
"~2014.12.31","부전~동대구","기장","하양","12900","3600","12300","3600","",""
"~2014.12.31","부전~동대구","기장","동대구","14900","3600","14200","3600","",""
"~2014.12.31","부전~동대구","월내","남창","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","월내","덕하","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","월내","태화강","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","월내","호계","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","월내","경주","6400","3600","6100","3600","",""
"~2014.12.31","부전~동대구","월내","서경주","6900","3600","6600","3600","",""
"~2014.12.31","부전~동대구","월내","영천","10400","3600","9900","3600","",""
"~2014.12.31","부전~동대구","월내","하양","11800","3600","11300","3600","",""
"~2014.12.31","부전~동대구","월내","동대구","13800","3600","13200","3600","",""
"~2014.12.31","부전~동대구","남창","덕하","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","남창","태화강","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","남창","호계","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","남창","경주","5300","3600","5100","3600","",""
"~2014.12.31","부전~동대구","남창","서경주","5800","3600","5500","3600","",""
"~2014.12.31","부전~동대구","남창","영천","9300","3600","8900","3600","",""
"~2014.12.31","부전~동대구","남창","하양","10700","3600","10200","3600","",""
"~2014.12.31","부전~동대구","남창","동대구","12700","3600","12100","3600","",""
"~2014.12.31","부전~동대구","덕하","태화강","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","덕하","호계","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","덕하","경주","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","덕하","서경주","4900","3600","4800","3600","",""
"~2014.12.31","부전~동대구","덕하","영천","8400","3600","8000","3600","",""
"~2014.12.31","부전~동대구","덕하","하양","9800","3600","9400","3600","",""
"~2014.12.31","부전~동대구","덕하","동대구","11800","3600","11300","3600","",""
"~2014.12.31","부전~동대구","태화강","호계","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","태화강","경주","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","태화강","서경주","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","태화강","영천","7700","3600","7400","3600","",""
"~2014.12.31","부전~동대구","태화강","하양","9100","3600","8700","3600","",""
"~2014.12.31","부전~동대구","태화강","동대구","11200","3600","10700","3600","",""
"~2014.12.31","부전~동대구","호계","경주","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","호계","서경주","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","호계","영천","6800","3600","6500","3600","",""
"~2014.12.31","부전~동대구","호계","하양","8200","3600","7800","3600","",""
"~2014.12.31","부전~동대구","호계","동대구","10300","3600","9800","3600","",""
"~2014.12.31","부전~동대구","경주","서경주","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","경주","영천","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","경주","하양","5400","3600","5200","3600","",""
"~2014.12.31","부전~동대구","경주","동대구","7400","3600","7100","3600","",""
"~2014.12.31","부전~동대구","서경주","영천","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","서경주","하양","4900","3600","4800","3600","",""
"~2014.12.31","부전~동대구","서경주","동대구","6900","3600","6600","3600","",""
"~2014.12.31","부전~동대구","영천","하양","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","영천","동대구","4800","3600","4800","3600","",""
"~2014.12.31","부전~동대구","하양","동대구","4800","3600","4800","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","용산","4800","3600","4800","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","영등포","4800","3600","4800","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","안양","4800","3600","4800","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","수원","4800","3600","4800","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","평택","7200","3600","6900","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","천안","9300","3600","8900","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","조치원","12500","3600","11900","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","신탄진","14600","3600","13900","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","대전","16000","3600","15300","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","옥천","17600","3600","16800","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","영동","20400","3600","19500","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","김천","24500","3700","23400","3600","",""
"~2014.12.31","서울~(마산)~순천","서울","구미","26700","4000","25500","3800","",""
"~2014.12.31","서울~(마산)~순천","서울","왜관","28500","4300","27200","4100","",""
"~2014.12.31","서울~(마산)~순천","서울","대구","31100","4700","29700","4500","",""
"~2014.12.31","서울~(마산)~순천","서울","동대구","31400","4700","30000","4500","",""
"~2014.12.31","서울~(마산)~순천","서울","경산","32600","4900","31100","4700","",""
"~2014.12.31","서울~(마산)~순천","서울","청도","34900","5200","33300","5000","",""
"~2014.12.31","서울~(마산)~순천","서울","밀양","36800","5500","35100","5300","",""
"~2014.12.31","서울~(마산)~순천","서울","진영","39200","5900","37400","5600","",""
"~2014.12.31","서울~(마산)~순천","서울","진례","39600","5900","37800","5700","",""
"~2014.12.31","서울~(마산)~순천","서울","창원중앙","40500","6100","38700","5800","",""
